iter	F1	Logloss
0	0.8847557099	0.6523296222
1	0.8879729708	0.615212106
2	0.8841260548	0.5841487125
3	0.8849913534	0.5537024715
4	0.8864598185	0.525149811
5	0.8868011581	0.5047682414
6	0.8851828446	0.4897902483
7	0.8859361221	0.4698472036
8	0.8861340513	0.4508499326
9	0.8864340882	0.4344737236
10	0.8858630153	0.4193026586
11	0.8857724588	0.4050588226
12	0.8855618114	0.3959564461
13	0.8862182408	0.3849331352
14	0.8862324649	0.3727579472
15	0.8833464774	0.3657152079
16	0.8860587824	0.3566915169
17	0.8846473945	0.3500312968
18	0.8844951942	0.340432577
19	0.8851630692	0.3337874974
20	0.8861340513	0.3266980737
21	0.8860757096	0.3206297863
22	0.8857455723	0.3148379389
23	0.8853960049	0.3084001674
24	0.8854353438	0.3042469724
25	0.8861340513	0.3006004394
26	0.886282813	0.2956540832
27	0.8859631258	0.2926244237
28	0.88568681	0.2888222602
29	0.8857920259	0.285427448
30	0.8864007588	0.2826814047
31	0.886508159	0.2792933349
32	0.8862220482	0.2774643598
33	0.8864668178	0.2762077086
34	0.8862906824	0.2731086192
35	0.886480758	0.2708451931
36	0.8868300628	0.2680850068
37	0.8870444186	0.2664239626
38	0.8871295219	0.2653331437
39	0.886805249	0.2642924264
40	0.8863787413	0.2635432485
41	0.8869401186	0.2624542277
42	0.8871295219	0.2612959312
43	0.8874945337	0.2594946185
44	0.8872526537	0.2581540973
45	0.8874914887	0.2567805296
46	0.8871046124	0.2561530766
47	0.8875385261	0.2546265402
48	0.8873405948	0.2538520776
49	0.8875794464	0.2534147684
50	0.8874725392	0.2528264394
51	0.8874975809	0.2522368262
52	0.8879250538	0.2505955949
53	0.8873875798	0.250336244
54	0.8882077616	0.2486649106
55	0.8882924422	0.2466324864
56	0.8883330966	0.2461168565
57	0.8885208372	0.2457577221
58	0.8883636806	0.2452861698
59	0.8882791592	0.245056395
60	0.8882978017	0.2444692489
61	0.8882319326	0.2440111181
62	0.8882725317	0.2437245431
63	0.8882692215	0.2428633995
64	0.8886389391	0.2421708094
65	0.8887487121	0.2404703237
66	0.8889428239	0.239805837
67	0.8889428239	0.2394425561
68	0.8890051376	0.2392917855
69	0.8890051376	0.2389806924
70	0.8896309066	0.2375794944
71	0.8893089333	0.2375119879
72	0.8898467233	0.236329434
73	0.8899965933	0.2357315578
74	0.8899965933	0.2357315542
75	0.8909605819	0.2350528581
76	0.891518747	0.233812731
77	0.8916241375	0.2332585715
78	0.892142384	0.2324375942
79	0.8919711822	0.2323786764
80	0.8921204048	0.2318657614
81	0.8925066109	0.2312461616
82	0.8924359047	0.2311437859
83	0.8924359047	0.2303493387
84	0.892519007	0.2298799762
85	0.8927729374	0.2289809755
86	0.8932023953	0.2282281913
87	0.8932023953	0.2282095387
88	0.8930266612	0.2274590192
89	0.8929827385	0.2274334802
90	0.8930266612	0.2269956578
91	0.8935049615	0.2259473271
92	0.8935049615	0.2256586972
93	0.8943632033	0.2246303222
94	0.894407186	0.2240836004
95	0.894429179	0.2240564407
96	0.894407186	0.2240559101
97	0.8944896869	0.2236022488
98	0.8947920539	0.2227721815
99	0.8952207244	0.2223596639
100	0.8951164208	0.2219401968
101	0.8951164208	0.221940113
102	0.8950944168	0.2219103716
103	0.8952647307	0.2218642715
104	0.8952647307	0.221783853
105	0.895242727	0.2217152463
106	0.8951767223	0.221648111
107	0.8951547229	0.2216405076
108	0.8951547229	0.221631236
109	0.8951547229	0.221501029
110	0.8951327246	0.2210289206
111	0.8949787667	0.2208276575
112	0.894956777	0.2208273193
113	0.8950887312	0.2205445834
114	0.8950667362	0.2205443243
115	0.8958134364	0.2198193658
116	0.895939482	0.2197652724
117	0.895939482	0.2197651102
118	0.8960214823	0.2193860337
119	0.8957855116	0.219161869
120	0.895955499	0.2188090328
121	0.895955499	0.218807296
122	0.895955499	0.2188072928
123	0.8963771756	0.2180224432
124	0.8977250974	0.2171292555
125	0.8975335612	0.2168308027
126	0.8975335612	0.2167758826
127	0.8975335612	0.2167715841
128	0.8980639928	0.2155878033
129	0.8980639928	0.2155877647
130	0.8983434457	0.2148431522
131	0.8983434457	0.2148431016
132	0.8983434457	0.2148390234
133	0.8983434457	0.2148369828
134	0.8983434457	0.2148369402
135	0.8982553769	0.2146613617
136	0.8982553769	0.2146613617
137	0.8981893365	0.214600001
138	0.8981893365	0.2145999994
139	0.8982553769	0.2142624057
140	0.8982113489	0.2141876856
141	0.8982113489	0.2141876545
142	0.8982113489	0.2141876543
143	0.8984687289	0.2135719034
144	0.8984687289	0.2135692197
145	0.8984687289	0.2135520457
146	0.8987411588	0.2132336882
147	0.8989323378	0.2125644894
148	0.8989323378	0.212564426
149	0.8991305445	0.2122875819
150	0.8991305445	0.2122842057
151	0.8993877846	0.2116575838
152	0.8993657522	0.2116272397
153	0.8993657522	0.211627189
154	0.899343721	0.2115086626
155	0.8995568528	0.2109327497
156	0.899578887	0.2104841021
157	0.8995348197	0.2104827883
158	0.8995348197	0.2104323688
159	0.899725869	0.2100840896
160	0.8994907567	0.2100681796
161	0.8994907567	0.2099522769
162	0.8999389059	0.2090762969
163	0.8999389059	0.209076258
164	0.9001593331	0.2083991563
165	0.900115239	0.2081388806
166	0.900115239	0.2081387905
167	0.900115239	0.2081387341
168	0.900115239	0.2079275803
169	0.900115239	0.2079275679
170	0.900115239	0.2079274685
171	0.9003503039	0.2073092027
172	0.9003503039	0.2072993037
173	0.9005853312	0.2071737737
174	0.9005412255	0.207153281
175	0.9005412255	0.2071532603
176	0.9007100447	0.2071528725
177	0.9007100447	0.2071528402
178	0.9006659418	0.2071250785
179	0.9006659418	0.2071250449
180	0.9006879928	0.2071070608
181	0.9006879928	0.2070628212
182	0.9008567594	0.2069025171
183	0.9008126572	0.2069012855
184	0.9007685593	0.2068935815
185	0.9007685593	0.2068935712
186	0.9007685593	0.2068813308
187	0.9007685593	0.2068813076
188	0.9007685593	0.2068812813
189	0.9007685593	0.206871648
190	0.9007685593	0.2065662896
191	0.9011202152	0.20613786
192	0.9012304414	0.2058808344
193	0.9013186419	0.2051866968
194	0.901525064	0.2043352641
195	0.9027651577	0.2034575765
196	0.9027872512	0.2030468113
197	0.9028451683	0.2028385238
198	0.9029114415	0.2026860999
199	0.9028230795	0.202666008
200	0.9028230795	0.2026660066
201	0.9028230795	0.2026655409
202	0.9029335347	0.2024921653
203	0.9029335347	0.2024921643
204	0.9029998208	0.2022929387
205	0.9029998208	0.2020135447
206	0.9030219183	0.2018413286
207	0.9037035846	0.2007327394
208	0.9039823254	0.2001842518
209	0.9039602109	0.2001626808
210	0.9038362575	0.1998590244
211	0.9042035298	0.1990067265
212	0.9040353399	0.1989893075
213	0.9041592802	0.1989629774
